,file_name,mean,std,min,max
62,202208071530.nc,4456.163985185185,1126.2708570399489,2790,7629
63,202306010440.nc,4851.566275308642,1221.57896252014,1940,7276
64,202207231500.nc,4543.613909876543,1068.4943780459955,2851,7677
65,202306290750.nc,5150.230718518518,1491.969395399407,1698,7818
66,202208120720.nc,4237.398811111111,1238.6741940898014,2012,7658
67,202306031930.nc,4529.545314814814,784.8220414520966,3248,6897
68,202308231800.nc,4560.721250617284,1208.3715588114696,2908,7667
69,202106290240.nc,4215.151713580247,1056.8303999972266,2204,7410
70,202308121910.nc,4113.732287654321,1025.9891411251112,2787,7312
71,202308240330.nc,4545.730425925926,1383.3028555563358,1990,7614
72,202107060010.nc,4915.1740493827165,1266.0337204266837,2888,7682
73,202306041750.nc,4623.207788888889,875.0388819906132,3268,7339
74,202207080920.nc,4118.7811567901235,1148.5071236218425,2422,7627
75,202307090140.nc,4468.333314814815,1215.7894418493463,1962,7567
76,202209102010.nc,4405.853679012345,816.0154078792516,3083,7375
77,202209052140.nc,5036.717156790123,1315.43150270345,3137,7671
78,202106241830.nc,4731.2926962962965,1045.4520778859442,3239,7371
79,202107251410.nc,4618.374414814814,1272.8249190479223,3002,7676
80,202306012110.nc,4585.559460493827,1018.9960305912608,3284,7565
81,202306121930.nc,4690.124643209877,792.0186108074134,3366,7157
82,202209020650.nc,4218.815719753086,1373.3517545483521,1917,7675
83,202107222210.nc,4490.2299469135805,1159.514629640499,3086,7329
84,202208030450.nc,3785.5495604938274,1030.7334818925672,2035,7387
85,202208281930.nc,5090.074014814815,1210.3051951810753,3121,7382
86,202107212020.nc,4424.266996296296,1159.602202928948,2999,7310
87,202307071540.nc,4765.551271604938,1202.3070295650743,3013,7754
88,202107111250.nc,4704.160330864198,1160.7763625030732,2858,7680
89,202206260720.nc,4820.830560493827,1274.448834707688,1970,7841
90,202206011810.nc,4468.915077777778,864.4598647920932,3141,7209
91,202307260920.nc,4343.305149382716,1281.5978257680852,2774,7626
92,202208271940.nc,4608.645897530864,1023.4724060983642,3095,7496
93,202308260140.nc,4177.230465432099,1064.689816883682,2419,7366
94,202208312240.nc,4447.116008641975,981.5287209447953,3014,7691
95,202307021730.nc,4786.317377777777,1171.3252654393361,3120,7657
96,202307070430.nc,4860.5256234567905,1456.3463960852007,1456,7635
97,202307130340.nc,5381.271756790124,1275.302641698166,2174,7673
98,202107170130.nc,4323.919198765432,1191.454628662495,2436,7587
