,file_name,mean,std,min,max
149,202207202120.nc,0.31176338,1.3439893,0.0,99.7
150,202208012240.nc,0.53460526,3.724717,0.0,99.7
151,202308191550.nc,0.08606386,0.8010012,0.0,99.7
152,202206212140.nc,0.5146629,3.1092308,0.0,99.7
153,202207240340.nc,0.24373634,1.2888087,0.0,99.119995
154,202208301950.nc,0.3173743,1.5141134,0.0,99.619995
155,202307161250.nc,0.27622125,2.0786884,0.0,99.7
156,202308200750.nc,0.2449407,1.7559196,0.0,96.689995
157,202107031900.nc,2.2936141,7.5821657,0.0,99.4
158,202206071010.nc,0.35541806,1.5185914,0.0,99.15
159,202206110710.nc,0.99574685,4.5070047,0.0,98.509995
160,202307200120.nc,0.43169075,3.4246814,0.0,95.82
161,202206221930.nc,0.74521506,2.1692371,0.0,99.329994
162,202106231840.nc,0.2750506,0.7853463,0.0,99.579994
163,202208250830.nc,0.35859746,2.5338614,0.0,93.549995
164,202306011830.nc,0.48142758,1.4261281,0.0,83.4
165,202107170020.nc,0.6708126,2.2999318,0.0,86.14
166,202306021650.nc,0.11313249,0.6425078,0.0,93.75
167,202307130820.nc,0.5647456,1.6874994,0.0,95.79
168,202106020730.nc,1.3568037,3.1804526,0.0,99.4
169,202106061920.nc,0.26214948,1.0486078,0.0,92.95
170,202106111150.nc,0.50831,1.2480674,0.0,99.509995
171,202306282020.nc,1.3313315,6.384326,0.0,99.7
172,202208201830.nc,0.31360278,1.9612597,0.0,98.229996
173,202306041800.nc,0.16123103,0.8021968,0.0,99.61
174,202308080650.nc,0.4507987,1.847181,0.0,98.56
175,202306112130.nc,0.3960179,1.392853,0.0,99.439995
176,202106151500.nc,0.68998927,2.249709,0.0,95.2
177,202308162040.nc,0.23720798,1.4483631,0.0,99.7
178,202106061250.nc,0.27833128,0.9744391,0.0,87.549995
179,202206270840.nc,0.71132314,1.6238111,0.0,98.13
180,202308011020.nc,0.73310816,4.831561,0.0,98.68
181,202207161620.nc,0.34236878,2.2657192,0.0,96.67
182,202106090600.nc,0.459804,1.3464617,0.0,99.4
183,202307281940.nc,0.464278,1.6624603,0.0,98.1
184,202107310220.nc,0.38111243,1.8401107,0.0,99.4
185,202107081100.nc,1.938854,6.743205,0.0,88.979996
186,202107250800.nc,1.157188,4.264088,0.0,99.4
187,202106180520.nc,0.75543195,1.9230847,0.0,99.4
188,202106301140.nc,0.78597116,2.0991814,0.0,99.1
189,202208122050.nc,1.0065577,5.0352745,0.0,96.4
190,202307121310.nc,1.4452881,7.7242017,0.0,89.93
191,202306252130.nc,0.80152243,3.4550962,0.0,99.7
192,202107092100.nc,0.80178773,2.6447377,0.0,93.17
193,202207261640.nc,0.18086879,1.0700018,0.0,98.68
194,202207061750.nc,0.67720324,5.514756,0.0,99.27
195,202208040130.nc,0.17335284,1.0092056,0.0,98.63
196,202207241200.nc,0.32852948,2.0062354,0.0,98.409996
197,202106040700.nc,0.47550908,1.1851355,0.0,97.53
198,202208250610.nc,0.26261106,0.9941256,0.0,98.1
199,202308141710.nc,0.24785097,1.7711408,0.0,99.7
200,202209021130.nc,0.7553012,2.9890726,0.0,99.799995
201,202107030610.nc,2.6537876,8.095643,0.0,99.4
202,202206231930.nc,0.85914993,3.9518132,0.0,98.1
203,202208150840.nc,0.8494253,3.646167,0.0,99.7
204,202107281810.nc,0.60068166,3.2009912,0.0,99.4
205,202208191430.nc,0.825335,4.8913546,0.0,99.7
206,202209050430.nc,2.3861842,5.1072536,0.0,99.799995
207,202106040750.nc,0.4609651,1.2363813,0.0,93.72
208,202307271820.nc,0.2746534,1.2994529,0.0,94.869995
209,202306190550.nc,0.6536794,2.2615452,0.0,99.53
210,202307291740.nc,0.4377679,1.9751903,0.0,97.97
211,202308010910.nc,0.68334115,4.8183403,0.0,98.689995
212,202107061920.nc,0.71732295,2.8485718,0.0,99.4
213,202206010550.nc,0.36969748,1.2633034,0.0,98.1
214,202107310110.nc,0.39532945,2.120943,0.0,93.96
215,202106022320.nc,2.37722,7.071197,0.0,99.4
216,202106020110.nc,0.63690615,1.0928307,0.0,71.07
217,202306232050.nc,0.4946527,2.13019,0.0,98.1
218,202207211200.nc,0.3322637,1.6770148,0.0,98.1
219,202208282100.nc,0.55909675,1.5757191,0.0,98.11
220,202106110720.nc,0.78515553,1.7653009,0.0,97.549995
221,202106231650.nc,0.2771336,0.89620155,0.0,99.11
222,202106021600.nc,1.4031472,2.5162249,0.0,99.4
223,202107011430.nc,0.8761764,3.5166795,0.0,99.4
224,202206290330.nc,0.49424046,3.4108672,0.0,98.329994
225,202206220050.nc,0.27500653,0.87336147,0.0,98.869995
226,202106260030.nc,0.6569123,1.181656,0.0,99.4
227,202306091010.nc,0.3152015,1.1425345,0.0,99.7
228,202306072330.nc,0.5317456,1.5843515,0.0,98.22
229,202106200720.nc,0.4227848,1.1797807,0.0,99.4
230,202207261000.nc,1.2295303,6.304686,0.0,98.409996
231,202207010730.nc,0.21056129,0.9271688,0.0,94.78
232,202308032150.nc,0.1488409,0.9485744,0.0,98.1
233,202208081640.nc,1.0062246,5.0655756,0.0,99.61
234,202208091540.nc,0.50717056,2.6012852,0.0,99.7
235,202206041240.nc,0.5877825,1.7867788,0.0,99.43
236,202106120810.nc,0.77144265,2.619061,0.0,90.93
237,202307282350.nc,0.628515,2.3594096,0.0,99.61
238,202107190640.nc,0.47672582,2.7008047,0.0,92.25
239,202306081230.nc,0.3736008,1.1284194,0.0,99.7
240,202206170810.nc,0.3894713,1.2828383,0.0,99.7
241,202107261550.nc,0.51030016,2.67975,0.0,84.56
242,202307152240.nc,0.33438376,1.3921577,0.0,99.329994
243,202209050310.nc,2.1966457,4.6811423,0.0,99.799995
244,202308081210.nc,0.46625975,2.0283122,0.0,89.49
245,202106221000.nc,0.295383,1.0670663,0.0,99.409996
246,202206122020.nc,0.50927925,1.2810321,0.0,98.1
247,202106180510.nc,0.7540069,1.7882364,0.0,99.4
248,202106151220.nc,0.726847,1.8194427,0.0,69.88
249,202206230130.nc,1.1776171,4.201411,0.0,99.7
250,202206301750.nc,0.19860671,0.7955383,0.0,93.84
251,202207251040.nc,0.32425886,2.41062,0.0,96.99
252,202207092100.nc,0.43304253,3.0074222,0.0,97.799995
253,202106042010.nc,0.30784026,0.9505986,0.0,99.4
254,202206161200.nc,0.2205587,0.88494253,0.0,99.7
255,202206280600.nc,0.59216565,1.7951202,0.0,99.7
256,202206221420.nc,0.86731595,4.002613,0.0,86.549995
257,202307181320.nc,0.27541524,1.44238,0.0,99.079994
258,202106301940.nc,0.52771187,1.9532439,0.0,96.799995
259,202307080050.nc,1.2937157,6.3151436,0.0,99.7
260,202107231700.nc,0.40019962,1.0091954,0.0,92.93
261,202209090800.nc,0.36156353,1.9865581,0.0,99.799995
262,202307150750.nc,0.41032007,1.4614621,0.0,99.579994
263,202106161240.nc,0.5722473,1.2761317,0.0,81.18
264,202207151200.nc,0.383568,1.3632907,0.0,83.61
265,202208220800.nc,0.75546336,3.5445054,0.0,98.38
266,202208120120.nc,0.58040786,3.4233088,0.0,99.7
267,202106120600.nc,0.5687484,1.4924471,0.0,91.72
268,202206042020.nc,0.80470896,1.8120023,0.0,90.799995
269,202308121820.nc,0.18765724,1.095263,0.0,94.06
270,202207142350.nc,0.8827523,4.2369514,0.0,98.1
271,202308170410.nc,0.26265898,1.8229485,0.0,99.22
